,chain_id_fuzzy,name,average_dist
17257,17258,TITLE Boxing Club,8.828553364
4751,4752,Dorrian's Red Hand,8.791814829
2735,2736,Bulbap Grill,8.733703215
5752,5753,Five below,8.733367488
17262,17263,TJ Maxx,8.67653991
6547,6548,Gourmet Deli & Pizza,8.635624989
14414,14415,Shah's Halal Food,8.600810941
13842,13843,Rosetta Bakery,8.533222473
6926,6927,Halal Munchies,8.440171771
7998,7999,Janie’s Life-Changing Baked Goods,8.423554873
9521,9522,Lot-Less ,8.400803997
7375,7376,Holy Cross Roman Catholic Church,8.280086772
18364,18365,Whole Pets Market,8.249885572
15126,15127,St James Episcopal Church,8.193648608
10438,10439,Michaeli Bakery,8.157844648
4925,4926,Earth & Me,8.152460795
4836,4837,DSW Designer Shoe Warehouse,8.117936769
17668,17669,Union Hall,8.102750989
5909,5910,Forever Coffee,8.042348656
10535,10536,Mille-Feuille Bakery,7.997174382
11618,11619,Nuts Factory,7.9922544
10092,10093,Martha's Country Bakery,7.958920583
13032,13033,Prince Tea House,7.927570437
18178,18179,Washington Commons,7.918851659
6857,6858,H Mart,7.877237085
1413,1414,Bagel Buffet,7.859332625
3602,3603,Cinnamon Girl,7.849948436
6920,6921,Halal Kitchen,7.717886917
10763,10764,Morning Glory,7.680503297
6228,6229,Garden of Eden,7.670789391
15032,15033,Spot Dessert Bar,7.656430789
4257,4258,CycleBar,7.560278114
6569,6570,Grabstein's Bagels,7.54094584
15493,15494,Sugar Hill Creamery,7.525831986
8350,8351,Justino's Pizzeria,7.505621763
8328,8329,Junior's Restaurant & Bakery,7.49269291
7238,7239,Hermès,7.437672364
15558,15559,Sunrise Mart,7.376940615
17435,17436,Treadwell Park,7.367474347
12640,12641,PhysioRX,7.316797161
18538,18539,WORD,7.314549284
15805,15806,Takahachi Bakery,7.308139484
8735,8736,Krav Maga Institute NYC,7.21562061
10439,10440,Michaels,7.187449046
5271,5272,Ends Meat,7.096902087
7870,7871,IT'SUGAR,7.044487033
18655,18656,Yemen Cafe & Restaurant,7.01379605
1144,1145,Arturo's,6.951602624
12735,12736,PingPod,6.867660948
4255,4256,CVS pharmacy,6.847135065
9849,9850,Malai,6.840994667
15873,15874,Tartinery,6.824038688
3915,3916,Coney Shack,6.817080539
18098,18099,W XYZ Bar,6.816727363
14872,14873,Song E Napule,6.703466361
2298,2299,Book Culture,6.696679538
9393,9394,Little Morocco,6.67968756
13478,13479,Reformation,6.621551882
7517,7518,Hudson County Community College Library,6.614861361
2686,2687,Brownstone Pancake Factory,6.605835357
7499,7500,Hudson & Charles,6.590837876
3843,3844,Color Me Mine,6.568471931
15422,15423,Street Taco,6.455683615
1430,1431,Bagels & More,6.431724769
10169,10170,Mathnasium,6.395442612
12291,12292,Parkview Market,6.363836321
11604,11605,Nur Thai,6.345743445
4980,4981,Eastern District,6.340155055
8312,8313,Julien Boulangerie,6.326031118
2599,2600,Brooklyn Fare,6.325001922
12815,12816,PlantShed,6.297729619
6960,6961,Han Dynasty,6.234933704
10808,10809,Motorino,6.193992952
11853,11854,Olive & Bette's,6.172726636
18426,18427,Williamsburg Pizza,6.158386008
5587,5588,Fay Da Bakery,6.102978641
8825,8826,La Churreria,6.079917887
449,450,ACME Markets,6.070490099
10307,10308,Melt Shop,6.052646887
1533,1534,Bar Bruno,6.047607308
2424,2425,Break Bar,6.039643982
18304,18305,Westside Pilates,5.965622894
7248,7249,Hex & Company,5.958942581
17897,17898,Variety Coffee Roasters,5.852261693
9729,9730,Macy's,5.835824296
3077,3078,Carnegie Diner & Cafe,5.795134532
10696,10697,Mom's Kitchen & Bar,5.787199881
18746,18747,Z Club NY,5.782601165
1242,1243,Athleta,5.749168154
13825,13826,Rosa's Pizza,5.740281892
5884,5885,For Five Coffee Roasters,5.735990711
1559,1560,Barachou,5.728341734
2045,2046,BK JANI,5.678928063
12432,12433,Pearson Professional Centers,5.674283173
4594,4595,Dim Sum Palace,5.671585289
8168,8169,Joe's Pizza,5.654747358
1422,1423,Bagel Pub,5.600421162
3681,3682,Cityline Church,5.582900878
3309,3310,Charlotte Cafe,5.558801629
5286,5287,Enzo Bruni La Pizza Gourmet,5.543189199
10649,10650,Modern Bread and Bagel,5.528845011
5666,5667,Fine Fare,5.500754939
15702,15703,Swim Urban,5.460804466
6952,6953,Hamilton Park Capital,5.458086092
8716,8717,Koronet Pizza,5.456806115
6911,6912,Halal Food Cart,5.398588733
3839,3840,Colomba Bakery,5.369940351
12368,12369,Patsy's Pizzeria,5.369758981
2635,2636,Brooklyn Public Library,5.367275151
804,805,Ample Hills Creamery,5.351414759
10625,10626,MixyPaws,5.348084992
14614,14615,Singas Famous Pizza,5.344157071
1043,1044,Area 53,5.337847805
11758,11759,Oasis Cafe,5.334780834
5756,5757,Five Iron Golf,5.332370146
15390,15391,Stonefruit Botanical,5.318969456
8900,8901,Läderach chocolatier suisse,5.297641078
18535,18536,Woops!,5.275405737
13071,13072,Prometric Testing Center,5.272826873
15657,15658,Sweaty Betty,5.263500818
446,447,Ace's Pizza,5.251654997
5295,5296,Equinox,5.246069802
3902,3903,Compton's,5.161854099
7440,7441,Hot Bagels,5.159123781
11481,11482,No Chewing Allowed,5.142857141
9603,9604,Lucky 7 Gourmet Deli,5.127666878
17391,17392,Trader Joe's,5.12275809
12114,12115,P.J. Clarke's,5.102384333
1123,1124,Artichoke Basille's Pizza,5.094318122
7007,7008,Happy Pups,5.087993377
9073,9074,Le Petit Parisien,5.047155223
2557,2558,Brooklyn Bagel & Coffee Company,5.047076178
6152,6153,Furry Paws,5.000415937
4004,4005,Corgi Jianbing,4.976146755
12023,12024,Oslo Coffee Roasters,4.963387424
2765,2766,Burlington,4.960048483
11560,11561,Northwell Health-GoHealth Urgent Care,4.930939281
15852,15853,Tap NYC,4.920126861
18302,18303,Westside Market NYC,4.919259175
2278,2279,Bond Vet,4.893874792
12597,12598,Petopia,4.883242723
6783,6784,Gristede's,4.846462531
2943,2944,Caffe Aronne,4.83679455
8651,8652,Kitsby,4.831538853
16696,16697,The Mill,4.818790439
12509,12510,Perk Coffee,4.802935781
13865,13866,Row House Fitness,4.776811683
5797,5798,Fleet Feet,4.768630957
13075,13076,Proper Cloth,4.760637074
8281,8282,Jubilee Marketplace,4.743594974
1565,1566,Barcade,4.729915947
11974,11975,Orangetheory Fitness Bayside,4.728504613
10675,10676,Moleskine,4.693136724
4553,4554,Devocion,4.669211548
2105,2106,Blick Art Materials,4.660816093
14215,14216,Sauce Pizzeria,4.648481573
2359,2360,Bourke Street Bakery,4.639336336
12856,12857,Plug Uglies,4.632400474
12213,12214,Paper Source,4.626607702
14951,14952,Space Market,4.620739891
17963,17964,Veterinary Emergency Group,4.61044024
9458,9459,Lockwood,4.589428764
9888,9889,Mamoun's Falafel,4.587796437
5917,5918,Forma Pasta Factory,4.564860535
4999,5000,Eat Real Halal,4.53538594
4002,4003,CorePower Yoga,4.534185018
12998,12999,Prestige Health & Wellness,4.528765827
903,904,Anita Gelato,4.516869614
10442,10443,Michael's Restaurant,4.513577504
15078,15079,St Ann's Church,4.511221341
6415,6416,Go! Go! Curry!,4.499009255
12657,12658,Pick a Bagel,4.488296735
944,945,Anthropologie,4.46037798
18165,18166,Wanpo Tea Shop,4.450476467
3488,3489,Chote Miya,4.447625462
17394,17395,Traditas Pizza,4.446345041
3282,3283,Champion Pizza,4.433718908
13727,13728,Roberta's,4.4228605
13558,13559,Restore Hyper Wellness,4.421358057
2210,2211,Bobwhite Counter,4.415432384
3971,3972,Cookie Crumz,4.413417311
6904,6905,Halal Cart,4.405768104
4767,4768,Doughnut Plant,4.396173747
8797,8798,L Train Vintage,4.373294459
5149,5150,Elio's,4.361626942
8342,8343,Just Food for Dogs,4.339016464
263,264,787 Coffee,4.331535215
5343,5344,Ess-A-Bagel,4.3255853
6287,6288,Generations Church,4.320707865
16485,16486,The Halal Guys,4.30740209
3059,3060,Carla,4.307037288
7023,7024,Harbor Fitness,4.3020911
10987,10988,Mysttik Masaala,4.297689856
5908,5909,Forever 21,4.296961426
18590,18591,Xi'an Famous Foods,4.290285746
11347,11348,New York Sports Clubs - 23rd & Park,4.273619626
10042,10043,Marinara Pizza,4.273053887
2729,2730,Buffalo Exchange,4.262367347
15971,15972,Ten Thousand Coffee,4.259178785
11527,11528,Nordstrom Rack,4.240566515
12988,12989,Preschool of America,4.223583981
13921,13922,Rumble Boxing - Tribeca,4.217432399
13157,13158,Pure Barre,4.21316355
10733,10734,Monument Park,4.211545666
1696,1697,Beacon's Closet,4.211526897
4842,4843,Duane Reade,4.20254849
10504,10505,Mike's Pizza,4.195154134
17319,17320,Tonchin,4.189752839
12997,12998,Pressed Juicery,4.15228918
4268,4269,D is for Doggy,4.127338948
2061,2062,Black Fox Coffee,4.127288282
6401,6402,GNC,4.124941758
3994,3995,Copper Mug Coffee,4.113618055
3062,3063,Carlo's Bakery,4.108139695
16474,16475,The Grisly Pear,4.104950517
275,276,7th Street Burger,4.095381877
18366,18367,Wholesome Farms Market,4.088961491
13356,13357,Ralph's Coffee,4.088405163
9560,9561,Love Thy Pet,4.072868838
10492,10493,MIGHTY Bowl,4.034327023
6528,6529,Gotham Pizza,3.988575893
1594,1595,Barking Dog,3.971718593
5567,5568,Fast Break,3.965156982
13053,13054,Professional Physical Therapy,3.951244552
1997,1998,Birch Coffee,3.950099569
6513,6514,Gotham Archery,3.926752302
16434,16435,The Goddard School,3.897847597
802,803,Amorino Gelato,3.876630973
17373,17374,Tous Les Jours,3.875153615
4298,4299,D'Agostino,3.868297419
622,623,Alex's Jewelry,3.831423539
2073,2074,Black Star Bakery & Cafe,3.82432961
2833,2834,C3 NYC,3.807839431
5826,5827,Fluent City,3.800820291
1720,1721,Beautiful Mandarin,3.798956424
861,862,Andy's Deli,3.793447171
2035,2036,Bites of Xi'an,3.768437766
12152,12153,Painting Lounge,3.767845309
16496,16497,The Health Nuts,3.767742005
18311,18312,Westville,3.765940671
9260,9261,Life Time,3.760913807
12591,12592,Petite Maman,3.75226683
7959,7960,Jajaja Mexicana,3.742606528
1418,1419,Bagel Market ,3.736090345
843,844,Andrea Arden Dog Training,3.732327467
292,293,8-Bit Bites,3.722336854
18235,18236,Wegmans,3.705407403
8917,8918,Lady M Cake Boutique,3.699198721
1270,1271,Au Za'atar,3.68657626
5871,5872,Food Universe Marketplace,3.677148306
13929,13930,Russ & Daughters,3.668603962
9046,9047,Le Botaniste,3.652018343
6698,6699,Green Cafe,3.649147484
10776,10777,Morton Williams,3.646684896
7526,7527,Hudson Hound,3.6252034
17051,17052,The Universal Church,3.605475353
10003,10004,Marathon Coffee,3.592501984
3696,3697,Claire's Kitchen Cafe,3.582732654
5494,5495,Fairway Market,3.581577624
11697,11698,NYC Pet,3.571290792
8102,8103,Jet's Pizza,3.563363096
17669,17670,Union Market,3.563061619
6498,6499,Goodwill NYNJ Store & Donation Center,3.560586257
8485,8486,Keki Modern Cakes,3.545666543
7346,7347,Hole In The Wall,3.542288304
2898,2899,Cafe Grumpy,3.539520729
10527,10528,Milk Bar,3.535650375
7,8,& Other Stories,3.530747533
6220,6221,Gap,3.522623529
14105,14106,Sameday Health,3.521162152
12529,12530,Pet Central,3.517862026
5347,5348,Essen Fast Slow Food,3.500225215
1514,1515,Banter,3.484018849
17753,17754,Upside Pizza,3.471374949
1136,1137,Artists & Fleas,3.448647812
8159,8160,Joe Coffee Company,3.442161504
17914,17915,Venchi,3.426804775
11257,11258,New York City Bagel & Coffee House,3.422762952
748,749,Amazon Go,3.41674714
115,116,2nd Ave Deli,3.414111803
18432,18433,Williams-Sonoma,3.406221824
12355,12356,Patisserie Chanson,3.400962023
18827,18828,Zuckers Bagels And Smoked Fish,3.39961789
10254,10255,McNally Jackson Store,3.390309851
15440,15441,Structure Personal Fitness,3.385230338
3625,3626,City Acres Market,3.372770802
16237,16238,The Church of the Ascension,3.363614729
13,14,[solidcore],3.355306707
18019,18020,Vin Sur Vingt,3.335292284
15765,15766,Taco Mahal,3.331520351
4111,4112,Crave Fishbar,3.3251425
9402,9403,Little Rascal,3.319584438
7555,7556,Hummus Kitchen,3.302172637
12353,12354,Patis Bakery,3.296072039
8868,8869,La Pecora Bianca,3.290342656
6160,6161,Fussy Friends Pet Supply,3.285204265
4338,4339,DanceBody,3.284312339
9878,9879,maman,3.255401305
3349,3350,Chelsea Juice,3.254916636
5205,5206,Emack and Bolio's,3.245343499
18766,18767,Zara,3.217178623
18498,18499,Wolfnights - The Gourmet Wrap,3.215837756
14221,14222,Savory Deli,3.214364229
4840,4841,Duals Natural,3.211763784
14119,14120,Sam's,3.206064586
14081,14082,Salt & Pepper,3.192846084
9511,9512,Los Tacos No.1,3.187591363
15668,15669,Sweet Chick,3.183415022
874,875,Angelina Paris,3.169286489
54,55,16 Handles,3.169056213
11847,11848,Ole and Steen,3.166944301
2089,2090,Blank Street Coffee,3.161399173
10161,10162,Matchaful,3.1492487
8813,8814,La Bicyclette Bakery,3.144602587
10008,10009,Marche Madison,3.141287756
9339,9340,Lingo,3.117793076
7759,7760,Integrative Spine & Sports,3.106977179
8650,8651,KITH Treats,3.100197992
6586,6587,Gracefully,3.097850426
8876,8877,La Pizza Italia,3.086350355
11846,11847,Olde Good Things,3.07843109
9048,9049,Le Cafe Coffee,3.076953495
1986,1987,Billy's Bakery,3.074359361
13140,13141,pupculture,3.062377386
12123,12124,Pace Gallery,3.048374852
10331,10332,Merci Market,3.043757171
17847,17848,Valencia Bakery,3.035901343
15769,15770,Tacombi,3.031581271
6776,6777,Grimaldi's,3.009995831
6554,6555,Gourmet Garden Market,2.976010016
15811,15812,Tal Bagels,2.973557637
12869,12870,Poetica Coffee,2.969017986
15404,15405,Stout NYC,2.945521318
5402,5403,Everlane,2.944027466
4305,4306,Daily Provisions,2.939337764
10293,10294,Mekelburg's,2.936257204
15437,15438,Strong Rope Brewery,2.931367905
7823,7824,Irving Farm New York,2.924692236
12937,12938,Posman Books,2.915993292
15292,15293,Starbucks Reserve,2.886179351
7530,7531,Hudson Market Place,2.883587761
8517,8518,Kettl,2.881096787
18509,18510,Wonder Bagels,2.872165908
6180,6181,Gagosian Shop,2.865974853
16577,16578,The Kati Roll Company,2.853188523
17787,17788,Urban Outfitters,2.850485536
5517,5518,Famous Famiglia Pizzeria,2.838262882
15595,15596,Supreme,2.834745762
4184,4185,Crumbly Cafe & Bakery,2.830655176
1057,1058,Aritzia,2.82810112
13376,13377,Rapawzel Dog Grooming & Day Care,2.825834679
2071,2072,Black Seed Bagels,2.825411613
12225,12226,Paradise Pawnbrokers,2.824186312
1189,1190,Associated Supermarkets,2.823381334
14852,14853,Solidcore,2.815063252
8172,8173,Joey Bats Café,2.814447849
8299,8300,Juice Press,2.799786977
5883,5884,For All Things Good,2.786237645
16968,16969,The Smith,2.782737886
18104,18105,Wafels & Dinges,2.781352177
8596,8597,King Gourmet Deli,2.752705843
10356,10357,Metro,2.72459865
14809,14810,Soft Swerve,2.722598568
15139,15140,St John's Episcopal Church,2.72097886
135,136,305 Fitness,2.716302651
12334,12335,Pastrami Queen,2.705736937
7740,7741,Insomnia Cookies,2.692377673
16478,16479,The Gutter,2.678843009
4467,4468,deep indian kitchen - indikitch,2.678609644
9291,9292,Lillie's Victorian Establishment,2.677471042
16465,16466,The Green Room 42,2.664524994
6868,6869,H&M,2.659547532
641,642,Alidoro,2.641680909
7103,7104,Hawa Smoothies,2.637827514
15726,15727,Synergy Fitness Clubs,2.630098862
16004,16005,Terry and Yaki,2.61410139
6026,6027,Free People,2.611774105
12178,12179,Pamper Ur Pets,2.594861978
12232,12233,Paris Baguette,2.583396801
7411,7412,Honeybrains at Saks,2.580731229
18405,18406,William Greenberg Desserts,2.574197923
17887,17888,Vanessa's Dumpling House,2.565569863
5051,5052,Effy's Cafe,2.552262977
3653,3654,City of Newark,2.539817638
2799,2800,Butler,2.532798996
17890,17891,Vanguard Wine Bar,2.512917579
2317,2318,Boris & Horton,2.503069334
8919,8920,Lady Wong,2.500058189
13388,13389,Ravagh Persian Grill,2.497338896
10626,10627,Miznon,2.491190797
10467,10468,MiDoctor,2.489658353
8156,8157,Joe & The Juice,2.484468806
9156,9157,Lenwich,2.48433638
820,821,Amy's Bread,2.480616339
9557,9558,Love Only,2.472108307
17029,17030,The Tiny Scientist,2.472105846
3171,3172,CBD Kratom,2.467594121
10181,10182,Matto Espresso,2.459723085
9385,9386,Little Italy Pizza,2.458070757
1999,2000,Bird & Branch,2.424333702
4307,4308,Dainobu,2.422269719
2423,2424,Breads Bakery,2.418783578
5455,5456,Exxon,2.414690489
3826,3827,Cohen's Fashion Optical,2.399067663
15349,15350,Sterling Place,2.390773918
11711,11712,NYC Trees,2.385731673
12967,12968,Prato Bakery,2.384838231
16545,16546,The International Preschools,2.384269622
4997,4998,Eat Here Now,2.360910561
12014,12015,Orwashers,2.355207277
9755,9756,Made in New York Pizza,2.35255796
14110,14111,Sami's Kabab House,2.339250476
15607,15608,Surreal Creamery,2.334736143
5954,5955,Forward,2.331292851
3213,3214,Central Park - Lauf,2.286018254
11143,11144,NetCost Market,2.284356993
11065,11066,Natty Garden,2.277133432
3041,3042,Capriotti's Sandwich Shop,2.271188773
13321,13322,Rafiqi's Delicious Food,2.27111752
16665,16666,The Malt House,2.267785804
17389,17390,Trade Wise Supermarket,2.26669182
7926,7927,Jack's Stir Brew Coffee,2.265336547
9037,9038,Lazy Sundaes,2.261357623
7167,7168,Heavenly Market And Cafe,2.251970829
9797,9798,Magnolia Bakery,2.248114437
1428,1429,Bagel World,2.247397019
314,315,99 Cents Fresh Pizza and Deli,2.23900385
1453,1454,Baked by Melissa,2.233515484
2915,2916,Cafe Mogador,2.232882088
9641,9642,Lululemon lab,2.232622934
7696,7697,Inès,2.218168494
6143,6144,Funny Face Bakery,2.214754243
6,7,% Arabica,2.200983349
17683,17684,UNIQLO,2.199546722
12829,12830,Playa Bowls,2.163866552
5541,5542,Farm Country Supermarket,2.16328084
2185,2186,Bluestone Lane,2.157222602
7927,7928,Jack's Wife Freda,2.156835831
12766,12767,Pita Grill,2.147164255
6091,6092,Friedman's West,2.141462357
1261,1262,Atomic Wings,2.138427129
2805,2806,Buttercup Bake Shop,2.127737802
373,374,Épicerie Boulud,2.12303291
5604,5605,Felix Roasting,2.094727964
10894,10895,Muji,2.073443241
17264,17265,T-Mobile,2.064465039
9759,9760,Madewell,2.055563339
12693,12694,Pier Park,2.051456748
11641,11642,NY Grill & Deli,2.028133276
11358,11359,New York University,2.027561749
6078,6079,fresh&co,2.012877596
6865,6866,H&H Bagels,2.012604968
15574,15575,Super Nice Coffee and Bakery,2.005539172
17331,17332,Tony's Di Napoli,1.997798041
3986,3987,Cooper's Craft & Cocktails,1.995364808
18779,18780,Zazzy's Pizza,1.994813637
2784,2785,Bushwick Deli,1.99142186
4001,4002,Core Zone Pilates,1.990103781
10292,10293,Mejuri,1.966968184
1326,1327,Awesum Dimsum,1.962657396
2067,2068,Black Press Coffee,1.9619851
15291,15292,Starbucks Pickup & Amazon Go,1.961905413
11767,11768,OBAO,1.961734388
12761,12762,PIQ,1.955213518
10374,10375,Metro Sports Physical Therapy,1.927680282
17608,17609,Two Hands,1.90155443
8296,8297,Juice Generation,1.899297561
10585,10586,MinuteClinic at CVS,1.893942234
17730,17731,Unregular Pizza,1.893566857
9068,9069,Le Pain Quotidien,1.893414858
15511,15512,Sullivan Street Bakery,1.875975173
6825,6826,Gumption Coffee,1.875383313
12643,12644,Pi Bakerie,1.867847759
7256,7257,Hidden Grounds Coffee - Brooklyn,1.850939613
13320,13321,Rafiqi's,1.843829623
10274,10275,Medical Offices of Manhattan,1.842199504
10832,10833,MovingStrength,1.841727791
15152,15153,St Kilda Coffee,1.839951474
14386,14387,Seven Grams Caffe,1.819091798
3267,3268,Chai Tots Preschool,1.815306154
3515,3516,Christmas in New York,1.79530489
5521,5522,Famous Original Ray's Pizza,1.781269199
12135,12136,Padoca Bakery,1.777332881
12738,12739,Pink Olive,1.776500803
10518,10519,Mile High Run Club UES,1.774912342
17667,17668,Union City Public Library,1.7741284
76,77,2 Bros Pizza,1.772894126
17276,17277,Toasties 43,1.759583683
8482,8483,Keg & Lantern Brewing Company,1.746235269
2414,2415,Bread & Butter,1.744788748
4725,4726,Don Giovanni Ristorante,1.744128771
9907,9908,Mango Mango Dessert,1.734063739
12425,12426,Peaky Barista,1.724950026
2142,2143,Blue Bottle Coffee,1.724351668
10200,10201,MaxWell Medical,1.691148769
1833,1834,Bergen Bagels,1.686803359
12791,12792,Pizza Town,1.683658476
16340,16341,The Elk,1.680379593
1272,1273,Aubi & Ramsa,1.672431991
4763,4764,Dough,1.668269044
15464,15465,Stumptown Coffee Roasters,1.652383533
13001,13002,Pret a Manger,1.650338542
16125,16126,The Bean,1.643233232
4841,4842,Duane Park,1.62189581
1449,1450,Bake Culture,1.61358713
1148,1149,Arvaci coffee,1.610416741
1459,1460,Bakeri,1.601661188
17891,17892,Vanilla Gorilla Cafe,1.601449938
9026,9027,Lava Shawarma,1.566575055
705,706,Alo,1.566249233
7955,7956,JAG Physical Therapy,1.558680516
13122,13123,Pueblo Querido,1.557728726
11670,11671,NYC Doggies,1.545209217
876,877,Angelo's Pizza & Pasta,1.531701913
11845,11846,Olde City Cheesesteaks & Brew,1.523439526
14249,14250,Schnipper's,1.51254894
13789,13790,Romeo and Juliet Colombian Coffee,1.509049195
17151,17152,Think Coffee,1.50180289
